,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
292,marck,FR,50.95,1.94,1596428973,100,98,59.0,1.01
293,kudahuvadhoo,MV,2.67,72.89,1596428973,100,78,83.17,11.9
294,simao,CN,22.79,100.97,1596428973,100,89,71.13,3.53
295,portland,US,45.52,-122.68,1596429474,75,53,73.99,10.29
296,marystown,CA,47.17,-55.15,1596428973,19,90,60.93,7.4
297,grand gaube,MU,-20.01,57.66,1596429508,41,59,71.01,5.99
298,port blair,IN,11.67,92.75,1596428973,100,79,82.94,27.6
299,barabai,ID,-2.58,115.38,1596428973,96,83,80.64,1.95
300,pacific grove,US,36.62,-121.92,1596428973,0,93,62.01,1.01
301,ekhabi,RU,53.51,142.97,1596428973,89,77,57.63,13.06
302,eyl,SO,7.98,49.82,1596428974,33,56,81.82,31.59
303,imbituba,BR,-28.24,-48.67,1596428820,25,100,62.6,9.17
304,ahipara,NZ,-35.17,173.17,1596429429,9,79,59.59,7.78
305,samarai,PG,-10.62,150.67,1596429361,91,85,77.67,15.39
306,bandarbeyla,SO,9.49,50.81,1596429509,33,48,85.03,34.05
307,karratha,AU,-20.74,116.85,1596429261,41,24,81.46,12.28
308,fort nelson,CA,58.81,-122.7,1596428974,75,60,73.4,5.82
309,nizwa,OM,22.93,57.53,1596428974,1,34,93.22,1.36
310,puerto madryn,AR,-42.77,-65.04,1596428762,68,61,50.56,19.8
311,filingue,NE,14.35,3.32,1596428974,100,78,76.84,10.6
312,diu,IN,20.71,70.98,1596428975,60,73,86.65,3.0
313,puerto colombia,CO,10.99,-74.95,1596428975,75,88,82.4,4.7
314,bure,ET,10.7,37.07,1596429509,99,93,57.88,2.91
315,muzhi,RU,65.37,64.67,1596428975,96,77,67.96,11.68
316,batagay,RU,67.63,134.63,1596428975,99,37,68.9,7.0
317,goryachegorsk,RU,55.41,88.92,1596428828,100,66,67.71,7.18
318,ponot,PH,8.45,123.02,1596428975,92,70,84.97,7.23
319,majene,ID,-3.54,118.97,1596428975,99,88,75.58,4.36
320,bagru,IN,26.81,75.54,1596428975,90,100,75.2,3.36
321,beloha,MG,-25.17,45.05,1596428975,0,77,59.31,11.63
322,mandalgovi,MN,45.76,106.27,1596428976,22,53,67.39,19.37
323,rio gallegos,AR,-51.62,-69.22,1596428976,100,69,39.2,21.92
324,acapulco,MX,16.86,-99.89,1596428775,100,82,82.0,8.21
325,cabra,ES,37.47,-4.44,1596428838,0,68,68.0,1.12
326,tebingtinggi,ID,3.33,99.16,1596428976,20,62,89.6,3.36
327,havoysund,NO,71.0,24.66,1596428976,90,93,50.0,5.82
328,atasu,KZ,48.68,71.64,1596428976,88,41,76.62,17.83
329,havre-saint-pierre,CA,50.23,-63.6,1596428976,90,88,64.4,2.24
330,cayenne,GF,4.93,-52.33,1596429363,56,100,75.2,1.12
331,belmonte,BR,-15.86,-38.88,1596428976,40,82,64.4,8.05
332,soure,BR,-0.72,-48.52,1596428977,6,83,78.93,10.47
333,watsa,CD,3.04,29.54,1596428977,55,100,62.47,0.94
334,solnechnyy,RU,50.72,136.63,1596428977,100,77,58.21,8.86
335,vyazemskiy,RU,47.54,134.75,1596428977,100,95,67.33,9.31
336,sharjah,AE,25.36,55.4,1596428977,0,47,95.0,9.17
337,palora,EC,-1.7,-77.93,1596428977,64,93,62.8,2.71
338,weinfelden,CH,47.57,9.1,1596428977,100,96,63.0,2.91
339,gonaives,HT,19.45,-72.68,1596428977,10,82,79.57,5.55
340,nieuw nickerie,SR,5.95,-56.98,1596428977,99,89,76.91,5.53
341,vostok,RU,46.49,135.88,1596428977,100,98,66.31,4.12
342,salalah,OM,17.02,54.09,1596429512,20,83,82.4,5.82
343,zhuanghe,CN,39.7,122.99,1596428977,100,82,81.34,7.81
344,gamba,GA,-2.65,10.0,1596429512,34,80,69.93,4.09
345,baker city,US,44.77,-117.83,1596428978,1,33,75.99,18.34
346,rzhev,RU,56.26,34.33,1596428978,58,86,53.2,3.71
347,eydhafushi,MV,5.1,73.07,1596428978,100,80,82.65,14.18
348,san vicente,AR,-26.62,-54.13,1596428978,0,90,57.63,3.22
349,okhotsk,RU,59.38,143.3,1596428978,0,56,66.43,8.77
350,singaraja,ID,-8.11,115.09,1596428915,66,53,83.98,2.91
351,biltine,TD,14.53,20.92,1596428978,100,91,72.23,12.82
352,byron bay,AU,-28.65,153.62,1596428978,75,60,72.0,8.05
353,mao,ES,39.89,4.27,1596428978,69,69,75.2,11.41
354,gornopravdinsk,RU,60.05,69.9,1596428979,0,55,80.02,8.41
355,constitucion,CL,-35.33,-72.42,1596429513,27,89,52.63,4.0
356,tamalameque,CO,8.85,-73.81,1596428979,100,84,78.75,2.19
357,saint-augustin,CA,51.23,-58.65,1596428979,60,75,62.89,7.23
358,sehnde,DE,52.31,9.97,1596428979,98,94,54.0,3.29
359,assomada,CV,15.1,-23.68,1596428979,20,74,80.6,5.82
360,tamasopo,MX,21.93,-99.48,1596428979,32,100,64.09,4.05
361,zdvinsk,RU,54.7,78.66,1596428979,0,63,75.97,12.03
362,umm lajj,SA,25.02,37.27,1596429513,87,59,89.1,4.88
363,cururupu,BR,-1.83,-44.87,1596428849,0,96,73.87,3.18
364,pachino,IT,36.72,15.09,1596428979,90,100,79.0,1.12
365,tiarei,PF,-17.53,-149.33,1596428980,75,74,80.01,5.82
366,sambava,MG,-14.27,50.17,1596428980,100,82,71.2,19.13
367,ratholo,BW,-22.72,27.57,1596428980,0,83,44.65,3.83
368,floro,NO,61.6,5.03,1596428980,75,93,51.8,2.24
369,kokomo,US,40.49,-86.13,1596428980,1,100,66.99,5.82
370,camocim,BR,-2.9,-40.84,1596428778,15,87,75.38,10.02
371,luganville,VU,-15.53,167.17,1596429514,75,74,78.8,3.36
372,roebourne,AU,-20.78,117.13,1596429514,41,24,82.56,10.92
373,meulaboh,ID,4.14,96.13,1596429290,98,67,84.69,3.71
374,necochea,AR,-38.55,-58.74,1596428980,72,70,42.01,1.99
375,teshie,GH,5.58,-0.11,1596428980,75,88,75.2,11.41
376,mweka,CD,-4.85,21.57,1596428981,50,56,70.77,1.23
377,panindicuaro,MX,19.97,-101.77,1596428981,100,89,61.0,4.05
378,gizo,SB,-8.1,156.84,1596428981,13,76,83.71,7.58
379,nelson bay,AU,-32.72,152.15,1596429403,100,40,69.01,13.87
380,lagoa,PT,39.05,-27.98,1596429515,1,76,70.84,2.53
381,thyboron,DK,56.7,8.21,1596428981,4,69,55.99,15.01
382,cedar city,US,37.68,-113.06,1596428981,1,12,77.0,6.93
383,todos santos,MX,23.45,-110.22,1596428981,23,77,79.0,4.23
